Time,BA1_CFM,TO1_CFM,BA2_CFM,BA3_CFM,LAU_CFM,BA4_CFM,CDR_CFM,RHD_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-02-07 21:12:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:13:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:14:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:15:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:16:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:17:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:18:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:19:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:20:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:21:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:22:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:23:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:24:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:25:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:26:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:27:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:28:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:29:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:30:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:31:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:32:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:33:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:34:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:35:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:36:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:37:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:38:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:39:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:40:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:41:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:42:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:43:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:44:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:45:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:46:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:47:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:48:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:49:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:50:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:51:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:52:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:53:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:54:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:55:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:56:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:57:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:58:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:59:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:00:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:01:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:02:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:03:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:04:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:05:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:06:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:07:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:08:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:09:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:10:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:11:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:12:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:13:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:14:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:15:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:16:00,95,0,0,100,111,51,NA,NA,357,0,0,357,NA,NA,NA
2017-02-07 22:17:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:18:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:19:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:20:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:21:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:22:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:23:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:24:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:25:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:26:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:27:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:28:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:29:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:30:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:31:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 22:32:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
