Time,BA1_CFM,TO1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,LAU_CFM,LAU2_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2016-10-17 08:28:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:29:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:30:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:31:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:32:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:33:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:34:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:35:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:36:00,0,59,0,0,0,102,0,0,0,161,0,0,161,42.1167504945913,169.733010290409,0.328515503787888
2016-10-17 08:37:00,0,59,0,0,0,102,0,0,0,161,0,0,161,42.1167504945913,169.733010290409,0.328515503787888
2016-10-17 08:38:00,0,59,0,0,0,102,0,0,0,161,0,0,161,42.1167504945913,169.733010290409,0.328515503787888
2016-10-17 08:39:00,0,59,0,0,0,102,0,0,0,161,0,0,161,42.1167504945913,169.733010290409,0.328515503787888
2016-10-17 08:40:00,91,59,0,0,0,102,0,0,0,252,0,0,252,42.1167504945913,258.031008669995,0.499414855490313
2016-10-17 08:41:00,91,59,0,0,0,102,0,0,0,252,0,0,252,42.1167504945913,258.031008669995,0.499414855490313
2016-10-17 08:42:00,91,59,0,0,0,102,0,0,0,252,0,0,252,42.1167504945913,258.031008669995,0.499414855490313
2016-10-17 08:43:00,91,59,0,0,0,102,0,0,0,252,0,0,252,42.1167504945913,258.031008669995,0.499414855490313
2016-10-17 08:44:00,91,59,0,0,0,102,0,0,0,252,0,0,252,42.1167504945913,258.031008669995,0.499414855490313
2016-10-17 08:45:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 08:46:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 08:47:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 08:48:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 08:49:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 08:50:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 08:51:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 08:52:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 08:53:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 08:54:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 08:55:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 08:56:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 08:57:00,91,0,0,0,0,102,0,0,0,193,0,0,193,34.0060316219236,198.09418264532,0.383408095442554
2016-10-17 08:58:00,91,0,0,0,0,102,0,0,0,193,0,0,193,34.0060316219236,198.09418264532,0.383408095442554
