Time,BA1_CFM,LAU_CFM,RHD_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-11-13 03:45:00,54,0,0,54,0,0,54,26.984323569695,62.9912922207389,0.699903246897098
2017-11-13 03:46:00,54,0,0,54,0,0,54,26.984323569695,62.9912922207389,0.699903246897098
2017-11-13 03:47:00,54,0,0,54,0,0,54,26.984323569695,62.9912922207389,0.699903246897098
2017-11-13 03:48:00,54,0,0,54,0,0,54,26.984323569695,62.9912922207389,0.699903246897098
2017-11-13 03:49:00,54,0,0,54,0,0,54,26.984323569695,62.9912922207389,0.699903246897098
2017-11-13 03:50:00,54,0,0,54,0,0,54,26.984323569695,62.9912922207389,0.699903246897098
2017-11-13 03:51:00,54,0,0,54,0,0,54,26.984323569695,62.9912922207389,0.699903246897098
2017-11-13 03:52:00,54,0,0,54,0,0,54,26.984323569695,62.9912922207389,0.699903246897098
2017-11-13 03:53:00,54,0,0,54,0,0,54,26.984323569695,62.9912922207389,0.699903246897098
2017-11-13 03:54:00,54,0,0,54,0,0,54,26.984323569695,62.9912922207389,0.699903246897098
2017-11-13 03:55:00,54,0,0,54,0,0,54,26.984323569695,62.9912922207389,0.699903246897098
2017-11-13 03:56:00,54,0,0,54,0,0,54,26.984323569695,62.9912922207389,0.699903246897098
2017-11-13 03:57:00,54,0,0,54,0,0,54,26.8220510174539,62.901313586159,0.698903484290656
2017-11-13 03:58:00,54,0,0,54,0,0,54,26.8220510174539,62.901313586159,0.698903484290656
2017-11-13 03:59:00,54,0,0,54,0,0,54,26.8220510174539,62.901313586159,0.698903484290656
2017-11-13 04:00:00,54,0,0,54,0,0,54,26.8220510174539,62.901313586159,0.698903484290656
2017-11-13 04:01:00,54,0,0,54,0,0,54,26.8220510174539,62.901313586159,0.698903484290656
2017-11-13 04:02:00,54,0,0,54,0,0,54,26.8220510174539,62.901313586159,0.698903484290656
2017-11-13 04:03:00,54,0,0,54,0,0,54,26.8220510174539,62.901313586159,0.698903484290656
2017-11-13 04:04:00,54,0,0,54,0,0,54,26.8220510174539,62.901313586159,0.698903484290656
2017-11-13 04:05:00,54,0,0,54,0,0,54,26.8220510174539,62.901313586159,0.698903484290656
2017-11-13 04:06:00,54,0,0,54,0,0,54,26.8220510174539,62.901313586159,0.698903484290656
2017-11-13 04:07:00,54,0,0,54,0,0,54,26.8220510174539,62.901313586159,0.698903484290656
2017-11-13 04:08:00,54,0,0,54,0,0,54,26.8220510174539,62.901313586159,0.698903484290656
2017-11-13 04:09:00,54,0,0,54,0,0,54,26.8220510174539,62.901313586159,0.698903484290656
2017-11-13 04:10:00,54,0,0,54,0,0,54,26.6590332232989,62.8112146153974,0.697902384615527
2017-11-13 04:11:00,54,0,0,54,0,0,54,26.6590332232989,62.8112146153974,0.697902384615527
2017-11-13 04:12:00,54,0,0,54,0,0,54,26.6590332232989,62.8112146153974,0.697902384615527
2017-11-13 04:13:00,54,0,0,54,0,0,54,26.6590332232989,62.8112146153974,0.697902384615527
2017-11-13 04:14:00,54,0,0,54,0,0,54,26.6590332232989,62.8112146153974,0.697902384615527
2017-11-13 04:15:00,54,0,0,54,0,0,54,26.6590332232989,62.8112146153974,0.697902384615527
2017-11-13 04:16:00,54,0,0,54,0,0,54,26.6590332232989,62.8112146153974,0.697902384615527
2017-11-13 04:17:00,54,0,0,54,0,0,54,26.6590332232989,62.8112146153974,0.697902384615527
