Time,RHD_CFM,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2018-02-12 21:25:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:26:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:27:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:28:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:29:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:30:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:31:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:32:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:33:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:34:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:35:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:36:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:37:00,0,25,66,52,12,0,155,0,0,155,56.782442860875,170.224330089377,0.414171119438873
2018-02-12 21:38:00,0,25,66,52,12,0,155,0,0,155,56.782442860875,170.224330089377,0.414171119438873
2018-02-12 21:39:00,0,25,66,52,12,0,155,0,0,155,56.782442860875,170.224330089377,0.414171119438873
2018-02-12 21:40:00,0,25,66,52,12,0,155,0,0,155,56.782442860875,170.224330089377,0.414171119438873
2018-02-12 21:41:00,0,25,66,52,12,0,155,0,0,155,56.782442860875,170.224330089377,0.414171119438873
2018-02-12 21:42:00,0,25,66,52,12,0,155,0,0,155,56.782442860875,170.224330089377,0.414171119438873
2018-02-12 21:43:00,0,25,66,52,12,0,155,0,0,155,56.782442860875,170.224330089377,0.414171119438873
2018-02-12 21:44:00,0,25,66,52,12,0,155,0,0,155,56.782442860875,170.224330089377,0.414171119438873
2018-02-12 21:45:00,0,25,66,52,12,0,155,0,0,155,56.782442860875,170.224330089377,0.414171119438873
2018-02-12 21:46:00,0,25,66,52,12,0,155,0,0,155,56.782442860875,170.224330089377,0.414171119438873
2018-02-12 21:47:00,0,25,66,52,12,0,155,0,0,155,56.782442860875,170.224330089377,0.414171119438873
2018-02-12 21:48:00,0,25,66,52,12,0,155,0,0,155,56.4806037443888,170.084402743556,0.413830663609625
2018-02-12 21:49:00,0,25,66,52,12,0,155,0,0,155,56.782442860875,170.224330089377,0.414171119438873
2018-02-12 21:50:00,0,25,66,52,12,0,155,0,0,155,56.4806037443888,170.084402743556,0.413830663609625
2018-02-12 21:51:00,0,25,66,52,12,0,155,0,0,155,56.4806037443888,170.084402743556,0.413830663609625
2018-02-12 21:52:00,0,25,66,52,12,0,155,0,0,155,56.4806037443888,170.084402743556,0.413830663609625
2018-02-12 21:53:00,30,25,66,52,12,0,185,0,0,185,59.7808412498262,199.599790417786,0.485644258924055
2018-02-12 21:54:00,30,25,66,52,12,0,185,0,0,185,59.7808412498262,199.599790417786,0.485644258924055
2018-02-12 21:55:00,0,25,66,52,12,0,155,0,0,155,59.7808412498262,171.639049180276,0.41761325834617
2018-02-12 21:56:00,0,25,66,52,12,0,155,0,0,155,59.7808412498262,171.639049180276,0.41761325834617
